Id,resourceId,title,language,instructors,duration,attendees,level,start,end,summary,individual_links
8e8f09fb84aacae5d87c6b1538c27cd8,Track 4,Datos espaciales a lo tidy - Español,Spanish,"Campitelli, Elio;
Corrales, Paola",180,40,Intermediate,2021-07-07T18:15:00Z,2021-07-07T21:15:00Z,"En este tutorial vas a aprender a descargar, 
leer, analizar y visualizar datos espaciales grillados en R usando datos
 tidy. Va a ser un tutorial participativo con programación en vivo y 
ejercicios, bajo la idea de que puedas usar los datos para responder tus
 propias preguntas, escribiendo tu propio código.
Al final del taller vas a haber aprendido como:
- descargar datos meteorológicos y climáticos programáticamente desde R,
- leerlos en un formato tidy,
- computar estadísicas espaciales y temporales,
- graficar los resultados usando ggplot2 y extensiones.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=4#paperID310
9acd29aaa7195b287500f887f6cd1f25,Track 1,Spatial Statistics for huge datasets and best practices,English,"Furrer, Reinhard;
Flury, Roman;
Blasi, Federico",120,50,Advanced,2021-07-07T14:15:00Z,2021-07-07T16:15:00Z,"During the last decade, several advanced approaches have 
been proposed to address computational issues of larger and larger multivariate space-time 
datasets . These can essentially be 
categorized as (i) construct ""simpler"" models or (e.g., low-rank models,
 composite likelihood methods, predictive process models) (ii) 
approximate the models (e.g., with Gaussian Markov random fields, 
compactly supported covariance function). In this tutorial, we discuss 
this last point by using sparse covariance matrix approximations. There 
is seemingly no limit to the sample size with the possibility of working
 with long vectors jointly with 64bit handling algorithms. However, the 
devil is in the details and to avoid encountering negative surprises we 
provide best practices, strategies, and tricks when modeling huge 
spatial data.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID305
b8ebdd224dfcd5e68e952eaa4ea7d976,Track 2,GET better at testing your R package!,English,"Salmon, Maëlle;
Chamberlain, Scott",180,50,Advanced,2021-07-07T07:00:00Z,2021-07-07T10:00:00Z,"Are you a package developer who wants to improve your understanding and practice of unit testing?
You've come to the right place: This tutorial is about Advanced testing of R packages, with HTTP testing as a case study.
Unit tests have numerous advantages like 
preventing future breakage of your package and helping you define 
features (test-driven development).
In many introductions to package development 
you learn how to set up testthat infrastructure, and how to write a few 
“cute little tests” 
(https://testthat.r-lib.org/articles/test-fixtures.html#test-fixtures) 
with only inline assertions.
This might work for a bit but soon you will 
encounter some practical and theoretical challenges: e.g. where do you 
put data and helpers for your tests? If your package is wrapping a web 
API, how do you test it independently from any internet connection? And 
how do you test the behavior of your package in case of API errors?
In this tutorial we shall use HTTP testing 
with the vcr package as an opportunity to empower you with more 
knowledge of testing principles (e.g. cleaning after yourself, testing 
error behavior) and testthat practicalities (e.g. testthat helper files,
 testthat custom skippers).
After this tutorial, you will be able to use 
the handy vcr package for your package wrapping a web API or any other 
web resource, but you will also have gained skills transferable to your 
other testing endeavours!
Come and learn from rOpenSci expertise!
Related materials
https://devguide.ropensci.org/building.html#testing
https://books.ropensci.org/http-testing
https://blog.r-hub.io/2019/10/29/mocking/
https://blog.r-hub.io/2020/11/18/testthat-utility-belt/",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID316
2ca367f20b0edab3db1166fa9d1ac34e,Track 1,Additive Bayesian Networks Modeling,English,"Kratzer, Gilles;
Furrer, Reinhard",150,60,Intermediate,2021-07-07T09:15:00Z,2021-07-07T11:45:00Z,"Additive Bayesian Networks (ABN) have been developed to disentangle complex relationships of highly correlated datasets as frequently encountered in risk factor analysis studies. ABN is an efficient approach to sort out direct and indirect relationships among variables which is surprisingly common in systemic epidemiology. After the tutorial, you will run the particular steps within an ABN analysis with real-world data. You will be able to contrast this approach with standard regression (linear, logistic, Poisson regression, and multinomial models) used for classical risk factor analysis. 
Towards the end, we also cover Bayesian Model Averaging in the context of an ABN, which is useful to assess the validity of the learned model and more advanced inference on the network. ",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID301
4301769836f32c8ab956ac9ad9790434,Track 3,Entry level R maps from African data - French - English,French - English,"South, Andy;
van der Walt, Anelda;
Dicko, Ahmadou;
Kariuki, Shelmith;
Baker, Laurie",240,60,Beginner,2021-07-07T10:15:00Z,2021-07-07T14:15:00Z,"This tutorial will provide an introduction to mapping and spatial data in R using 
African data. By the end of the tutorial, you should be 
able to make a map that is useful to you from data that you have 
brought yourselves. We will focus on developing confidence in 
doing the basics really well in preference to straying too far into more
 advanced analyses. Our 
tutorials focus on flexible workflows that you can take away. You will also learn how 
to spot and avoid common pitfalls. The training will be 
partly based around a set of interactive learnr tutorials that we have 
created as part of the afrilearnr package 
(https://github.com/afrimapr/afrilearnr) and accompanying online demos 
described in this blog post : 
https://afrimapr.github.io/afrimapr.website/blog/2021/interactive-tutorials-for-african-maps/.
The tutorial will be available on shinyapps for those that are 
unable to install locally. There will be separate English & French language groups 
with dedicated materials. Each group will start together for the first 
few sessions and then break into sub-groups
 of up to 10 learners with one trainer each for improved feedback and 
discussion. Towards the end of the tutorial we will challenge you 
to make a map using data that you have brought or found. 
Each language group will come back together for a final wrapup session. 
",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=3#paperID312
b2130e5c6a8f58f249f56ca2c4917d84,Track 2,"Professional, Polished, Presentable: Making Great Slides with xaringan",English,"Aden-Buie, Garrick;
Canelón, Silvia",180,60,Intermediate,2021-07-07T20:00:00Z,2021-07-07T23:00:00Z,"The xaringan package brings professional, impressive, and visually 
appealing slides to the powerful R Markdown ecosystem. Through our 
hands-on tutorial, you will learn how to design highly 
effective slides that support presentations for teaching and reporting 
alike. Over three hours, you will learn how to create an 
accessible baseline design that matches your institution or 
organization’s style guide. Together we’ll explore the basics of CSS—the
 design language of the internet—and how we can leverage CSS to produce 
elegant slides for effective communication. Finally, we’ll deploy our 
slides online where they can be shared and discovered by others long 
after they support our presentations. The tutorial will 
demonstrate how to use the skills learned to incorporate
 principles of accessible design into their presentations. The tutorial 
will feature live-coding and interactive question and answer periods, 
interspersed with small-group break out sessions for 
guided hands-on experience. The tutorial will be supported by a 
repository of materials.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID320
35b529310e3ba8ed116e233cabb47d22,Track 1,Data visualization using ggplot2 and its extensions,English,"Messaoud, Haifa Ben;
Belaid, Mouna;
Driss, Kaouthar;
Souissi, Amir",120,100,Beginner,2021-07-07T07:00:00Z,2021-07-07T09:00:00Z,"This tutorial will cover the introduction to ggplot2 and its 
main functions. We will cover how to make visualization of one variable, two 
variables, and three or more variables, how to lay out multiple plots, 
the use of ggstats for statistical visualizations, how to make 
interactive graphs using plotly and gganimate, some extensions of 
ggplot2.Finally, we will show you how to enhance the 
quality of your graphs by changing the theme or adding a logo and how 
to export your graph. We will share the code on the github repository of R-Ladies 
Tunis.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID300
73ed93cf6651075a3af3788b47a747de,Track 4,Getting started with torch - French,French,"Keydana, Sigrid",180,100,Intermediate,2021-07-07T10:30:00Z,2021-07-07T13:30:00Z,"Torch (https://torch.mlverse.org/) is an open source machine learning 
framework based on PyTorch. Not requiring any Python dependencies, torch
 for R is at once a powerful computational engine with including GPU 
acceleration, a neural network library, and an ecosystem providing tools
 for, among others, image, text, and audio processing. This tutorial 
will provide a thorough introduction to torch basics: tensors, automatic
 differentiation, and neural network modules. Thereafter, we delve into 
two areas of special interest to R users: time series forecasting and 
numerical optimization. All sections will include time slots for 
practice.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=4#paperID307
45dfd491842988c49f39ce7d84167bd9,Track 4,Pinguinos en caja : tutorial interactivo de ciencia de datos con pinguinos - Español,Spanish,"Dermit, Maria;
Escobar, Susana",60,100,Intermediate,2021-07-07T13:45:00Z,2021-07-07T14:45:00Z,"Pingüinos en Caja es un paquete learnr que cubre los temas del libro R para ciencia de datos y utiliza el conocido paquete de datos pinguinos para explorar los conceptos del libro. 
El paquete contiene actualmente un tutorial para cada capítulo del libro y se presentará durante el taller. Además, los asistentes trabajarán en salas para grupos pequeños
módulos divididos por las secciones principales del libro (por ejemplo, Explorar, Wrangle, Programar, Modelar y Comunicar; 6 apartados en total) según sus objetivos de aprendizaje. 
Las personas de la audiencia de este tutorial son estudiantes que quieran mejorar sus habilidades en ciencia de datos de forma interactiva y docentes que quieran acceder a recursos de aprendizaje adicionales similares a
los Primers de Rstudio (https://rstudio.cloud/learn/primers). El tutorial tiene como objetivo ser interactivo y la instrucción entre pares entre los asistentes será dirigida para guiar el aprendizaje en las salas de grupos pequeños.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=4#paperID308
45dfd491842988c49f39ce7d84167bd9,Track 2,Penguins in a Box: Interactive Data Science Tutorial with Penguins.,English,"Dermit, Maria;
Escobar, Susana",60,100,Intermediate,2021-07-07T18:15:00Z,2021-07-07T19:15:00Z,"Penguins in a Box is a learnr package that covers the topics of R for Data Science book and uses the widely used dataset penguins to
 explore book's concepts. The package currently contains one tutorial 
for each chapter of the book and will be introduced during the 
presentation. In addition, you will join breakout rooms to work on
modules on the book's main sections (e.i. Explore, Wrangle, Program,
 Model and Communicate; 6 sections in total) according to your learning
 objectives. This tutorial is aimed at both students 
who want to improve their data science skills in an interactive way and 
teachers who want to access additional learnr resources similar to 
Rstudio Primers (https://rstudio.cloud/learn/primers). The tutorial is 
aimed to be interactive and peer-instruction between attendees is aimed 
to guide learning at breakout rooms.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID319
92decf2b834d9b748d155f04391a17e5,Track 3,Introduction to Responsible Machine Learning,English,"Kozak, Anna;
Baniecki, Hubert;
Biecek, Przemyslaw;
Wisniewski, Jakub",180,150,Beginner,2021-07-07T07:00:00Z,2021-07-07T10:00:00Z,"What? 
The workshop focuses on responsible 
machine learning, including areas such as model fairness, 
explainability, and validation.
Why? 
To gain the theory and hands-on experience in developing safe and effective predictive models.
For whom? 
For those with basic knowledge of R, familiar with supervised machine learning and interested in model validation.
What will be used? 
We will use the DALEX 
package for explanations, fairmodels for checking bias, and modelStudio 
for interactive model analysis.
",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=3#paperID311
c3269e149bc5b3bee7ed6ac1864a3b5b,Track 3,Introduction to TileDB for R,English,"Eddelbuettel, Dirk;
Wolen, Aaron",180,200,Intermediate,2021-07-07T20:45:00Z,2021-07-07T23:45:00Z,"TileDB is an open source _universal data engine_ that natively supports 
dense and sparse multidimensional arrays, as well as data frames. Large 
datasets can be stored on multiple backends ranging from a local 
filesystem to cloud storage providers such as Amazon S3 (as well Google 
Cloud Storage and Azure Cloud Storage) and accessed using almost any 
language, including Python and R. The tutorial introduces the 'tiledb' R
 package on CRAN, which allows users to efficiently operate on large 
dense/sparse arrays using familiar R techniques and data structures. It 
also offers key features of the underlying TileDB Embedded library: 
parallelised read and write operations, multiple compression formats, 
time traveling (i.e., the ability to recover data stored at previous 
timepoints), flexible encryption, and Apache Arrow support. Several 
simple usage examples will be provided and you will have an 
opportunity to follow along on your laptops. One or two fuller usage 
examples from Bioinformatics will serve as a more extended case study. 
We will illustrate how TileDB can be used to create a performant data 
store for results produced by Genome-Wide Association Studies, and 
demonstrate the BioConductor package, TileDBArray, which is built on top
 of the DelayedArray framework and has shown excellent performance 
relevant to existing (hdf5-based) solution. Finally, usage of TileDB 
with cloud storage providers will be illustrated. This covers both 
direct reads and writes to, for example, Amazon S3 as well as a brief 
illustration of the 'pay-as-you-go' Software-as-a-Service offering of 
TileDB Cloud with its additional features.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=3#paperID315
